 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,slice0001_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0776-1950,8.001,2.128,1.344,10.825,622.944,246.935,3.523,3.203,0.858,1.456,0.687,0.886
2,slice0001_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1577-2927,23.593,1.456,0.173,18.182,934.576,502.198,5.765,5.765,0.897,1.391,0.719,0.929
3,slice0001_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1686-3991,13.951,6.4,0.978,14.449,1275.994,537.749,4.804,4.484,0.84,1.061,0.943,0.877
4,slice0001_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1843-1757,19.08,1.026,0.061,16.558,560.489,587.713,4.804,5.445,0.875,1.203,0.831,0.914
5,slice0001_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:2543-1010,19.695,1.151,0.218,16.558,320.92,811.909,5.124,5.124,0.903,1.074,0.931,0.923
7,slice0002_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0657-2368,57.342,1.126,0.308,28.289,753.938,206.26,8.968,8.327,0.9,1.058,0.945,0.951
8,slice0002_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0908-1397,30.569,3.972,0.387,21.197,444.548,287.291,5.765,7.046,0.855,1.166,0.858,0.92
9,slice0002_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1255-5313,46.366,1.372,0.564,25.118,1698.122,398.107,7.366,8.007,0.923,1.124,0.889,0.952
10,slice0002_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1439-3177,48.417,1.86,0.585,26.367,1013.364,457.039,8.327,7.687,0.875,1.074,0.931,0.939
11,slice0002_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1660-1692,45.648,1.39,0.391,25.118,538.39,527.821,7.366,8.007,0.909,1.121,0.892,0.945
12,slice0002_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1701-3945,31.287,4.829,1.308,20.744,1260.3,541.593,6.406,6.406,0.914,1.037,0.964,0.94
13,slice0002_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:2514-1043,32.415,1.656,0.513,21.728,330.849,801.98,6.726,6.406,0.863,1.095,0.914,0.932
15,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0661-2362,67.805,1.264,0.561,31.647,752.016,206.901,8.968,9.929,0.851,1.088,0.919,0.946
16,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0898-1369,46.571,2.457,0.716,26.445,434.299,283.447,8.327,8.327,0.837,1.142,0.875,0.928
17,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1105-2259,0.103,2.648,0,1.281,723.511,353.909,0.32,0.32,0.785,1,1,1
18,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1105-2261,0.103,2.48,0,1.281,724.152,353.909,0.32,0.32,0.785,1,1,1
19,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1451-3151,48.52,1.947,0.323,28.257,1005.037,460.882,8.648,7.687,0.764,1.179,0.848,0.922
20,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1655-1690,36.928,1.277,0.403,22.931,538.07,526.54,6.726,7.366,0.882,1.071,0.933,0.933
21,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1692-3961,44.724,1.849,0.62,25.727,1264.784,538.07,7.687,7.687,0.849,1.088,0.919,0.94
22,slice0003_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:2508-1024,28.107,2.491,0.932,20.026,325.084,800.378,5.765,6.085,0.881,1.144,0.874,0.937
24,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0670-2356,74.985,1.434,0.822,33.789,749.774,209.463,9.608,10.249,0.825,1.15,0.87,0.93
25,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0868-1503,45.442,2.278,0.639,25.041,477.857,274.159,7.366,7.687,0.911,1.025,0.975,0.952
26,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1430-3145,0.103,1.929,0,1.281,1007.279,458,0.32,0.32,0.785,1,1,1
27,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1435-3156,45.955,1.951,0.277,26.29,1006.959,455.758,8.007,7.687,0.836,1.16,0.862,0.928
28,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1661-1686,43.493,1.105,0.184,24.556,536.468,528.141,7.366,8.007,0.906,1.115,0.897,0.942
29,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1689-3950,40.826,1.75,0.63,24.743,1261.581,537.429,7.366,7.046,0.838,1.032,0.969,0.933
30,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:2505-1027,27.286,3.015,1.344,19.916,325.724,799.418,6.406,6.085,0.864,1.069,0.936,0.902
31,slice0004_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1947-2736,2183358.112,1.374,0.184,5999.476,0,0,1752.569,1247.168,0.762,1.405,0.711,0.999
32,slice0005_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0653-2344,61.547,1.441,0.871,29.913,746.251,204.338,8.968,9.608,0.864,1.188,0.842,0.937
33,slice0005_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0840-1536,29.44,2.276,0.611,20.291,489.067,265.832,6.085,6.406,0.899,1.046,0.956,0.929
34,slice0005_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:0869-5415,39.083,1.348,0.509,23.462,1730.79,274.8,7.046,7.366,0.892,1.084,0.923,0.936
35,slice0005_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1427-3147,0.103,3.251,0,1.281,1007.92,457.039,0.32,0.32,0.785,1,1,1
36,slice0005_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1438-3144,0.103,2.785,0,1.281,1006.959,460.562,0.32,0.32,0.785,1,1,1
37,slice0005_Result of 0h_to_24h_timecourse_A1 Region1_Merged_RAW_ch01.tif:1437-3151,30.158,3.14,0.33,30.412,1005.678,457.039,7.046,6.406,0.41,1.113,0.898,0.841
