 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:00795-08246,10.566,1.059,0.060,12.074,2639.103,252.701,3.843,4.164,0.911,1.453,0.688,0.912
2,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:01108-10289,64.830,1.034,0.100,33.194,3290.552,349.425,9.608,11.210,0.739,1.733,0.577,0.922
3,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:01148-10787,4.103,1.999,0.124,7.357,3453.574,366.720,2.562,2.242,0.953,1.201,0.833,0.879
4,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:01568-09634,4.411,2.281,0.130,9.279,3083.971,501.237,3.523,2.242,0.644,1.848,0.541,0.789
5,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:01567-08575,13.848,1.095,0.052,14.028,2744.155,499.956,4.484,3.843,0.884,1.215,0.823,0.918
6,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:01982-09861,109.965,0.999,0.009,40.052,3152.191,629.029,12.491,11.850,0.861,1.112,0.899,0.950
7,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02065-08079,1.334,1.483,0.056,3.999,2586.898,660.737,1.281,1.281,1.000,1.093,0.915,0.897
8,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02074-08089,1.539,1.621,0.037,5.092,2590.100,663.299,1.281,1.922,0.746,2.479,0.403,0.789
9,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02270-09541,5.539,2.242,0.189,8.373,3054.506,725.753,2.562,2.562,0.993,1.066,0.938,0.931
10,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02330-08940,10.566,1.142,0.153,11.919,2861.697,744.330,3.523,3.843,0.935,1.090,0.917,0.924
11,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02551-06054,8.104,1.592,0.096,10.560,1937.371,815.752,3.523,2.883,0.913,1.127,0.887,0.913
12,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02575-04457,31.697,2.399,0.419,21.197,1424.283,821.517,6.726,6.406,0.886,1.068,0.936,0.929
13,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02748-09101,31.799,3.314,0.622,20.932,2911.661,876.925,6.406,6.406,0.912,1.079,0.927,0.938
14,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02748-08298,36.005,1.066,0.105,22.899,2653.836,876.605,7.687,7.046,0.863,1.071,0.934,0.908
15,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:02943-07630,4.411,1.778,0.145,8.451,2442.452,941.301,2.883,2.562,0.776,1.224,0.817,0.804
16,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:03177-09762,0.103,5.519,0.000,1.281,3126.569,1017.528,0.320,0.320,0.785,1.000,1.000,1.000
17,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:03262-04723,0.103,3.085,0.000,1.281,1512.680,1044.752,0.320,0.320,0.785,1.000,1.000,1.000
18,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:03306-12717,49.648,3.272,0.887,26.477,4068.831,1055.001,8.327,8.007,0.890,1.162,0.861,0.939
19,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:03447-09226,9.437,3.993,0.253,12.372,2952.977,1102.402,4.164,3.523,0.775,1.540,0.649,0.864
20,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:04189-10890,5.232,3.817,0.295,8.451,3486.563,1340.370,2.562,2.883,0.921,1.097,0.912,0.872
21,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:04304-03596,50.777,1.064,0.116,26.743,1147.561,1374.640,8.327,8.007,0.892,1.065,0.939,0.942
22,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:04416-02797,6.462,2.579,0.291,9.279,894.541,1413.073,2.883,2.883,0.943,1.125,0.889,0.906
23,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:04439-09153,16.413,3.061,0.192,15.542,2928.956,1419.479,5.445,4.484,0.854,1.181,0.847,0.882
24,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:04476-02621,95.091,1.011,0.053,36.396,833.688,1428.126,11.530,10.890,0.902,1.133,0.882,0.956
25,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:04631-09023,62.471,1.734,0.456,29.945,2885.718,1478.730,8.648,9.288,0.875,1.127,0.887,0.943
26,Result of Before_GA_light_exposed_A1 Region1_Merged_RAW_ch01.tif:04860-05562,31.594,1.004,0.019,21.385,1777.872,1553.676,7.046,6.085,0.868,1.244,0.804,0.929
