 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:00302-10969,54.367,1.984,0.360,28.710,3508.342,92.561,9.608,8.648,0.829,1.287,0.777,0.914
2,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:01304-11254,15.079,2.185,0.424,14.714,3601.863,415.403,5.124,4.484,0.875,1.211,0.826,0.896
3,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:01372-12833,7.386,1.000,0.000,10.638,4108.225,438.142,3.843,2.883,0.820,1.998,0.501,0.911
4,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:01412-10209,2.257,3.906,0.236,5.545,3268.773,451.594,1.922,1.601,0.922,1.239,0.807,0.863
5,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:01931-08259,8.001,4.417,0.413,10.450,2643.267,617.179,3.843,2.883,0.921,1.307,0.765,0.902
6,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02035-08491,3.385,4.785,0.308,7.545,2718.212,650.808,2.883,1.922,0.747,1.802,0.555,0.815
7,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02053-04837,75.088,3.104,1.757,33.304,1544.388,652.089,9.608,10.890,0.851,1.097,0.912,0.929
8,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02149-02398,4.616,1.048,0.080,7.732,767.069,687.000,2.242,2.562,0.970,1.321,0.757,0.909
9,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02187-12126,42.673,2.930,2.031,24.665,3879.866,696.928,7.687,7.366,0.881,1.106,0.904,0.937
10,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02280-09143,8.001,2.929,0.279,10.185,2926.714,728.636,3.203,3.203,0.969,1.062,0.941,0.923
11,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02302-09727,9.848,6.350,0.545,12.559,3113.117,735.682,4.484,3.203,0.785,1.708,0.586,0.865
12,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02418-07958,18.259,4.323,0.511,15.917,2546.222,772.194,5.124,4.804,0.906,1.171,0.854,0.925
13,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02468-16151,34.774,2.516,0.619,22.291,5169.311,787.247,7.046,6.726,0.879,1.023,0.977,0.920
14,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02513-15580,52.315,3.458,1.353,27.383,4985.791,800.699,8.648,8.327,0.877,1.037,0.965,0.937
15,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02527-02052,7.078,1.945,0.210,10.262,655.932,807.745,2.883,3.523,0.845,1.218,0.821,0.857
16,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02584-09497,1.026,2.067,0.072,3.999,3041.374,826.962,0.961,1.601,0.806,1.976,0.506,0.800
17,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02601-05600,3.077,2.897,0.293,5.998,1792.604,832.086,1.922,1.922,1.000,1.116,0.896,0.923
18,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02605-05607,73.857,3.170,0.606,32.475,1791.003,829.204,9.608,10.569,0.880,1.114,0.898,0.943
19,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02645-04042,10.463,4.671,0.600,12.106,1292.648,845.538,3.843,3.523,0.897,1.202,0.832,0.911
20,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:02676-04573,0.308,2.300,0.225,1.812,1464.318,856.748,0.641,0.641,1.000,1.464,0.683,0.857
21,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03101-11500,17.849,1.114,0.095,15.762,3680.972,990.945,4.804,4.484,0.903,1.329,0.752,0.943
22,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03115-09641,67.497,1.240,0.376,32.022,3082.690,993.187,10.569,9.288,0.827,1.151,0.869,0.932
23,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03239-08191,14.258,2.263,0.529,13.918,2621.488,1035.143,4.164,4.484,0.925,1.031,0.970,0.917
24,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03285-08265,1.436,4.789,0.421,4.529,2646.470,1051.478,1.601,1.601,0.880,2.048,0.488,0.800
25,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03308-09287,4.103,1.048,0.064,7.357,2973.155,1058.524,2.883,1.922,0.953,1.287,0.777,0.889
26,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03345-14413,5.539,3.398,0.504,12.184,4614.267,1069.734,3.843,3.203,0.469,1.355,0.738,0.639
27,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03493-11621,10.463,1.589,0.278,13.808,3720.046,1116.494,4.164,4.804,0.690,1.912,0.523,0.800
28,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03613-09717,50.674,1.731,0.342,27.383,3107.992,1153.326,8.327,8.007,0.849,1.228,0.814,0.936
29,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03636-12682,16.105,3.040,1.202,16.370,4059.543,1161.974,4.484,5.445,0.755,1.228,0.815,0.844
30,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03690-00817,9.642,1.070,0.090,11.731,260.067,1179.910,3.523,3.843,0.880,1.096,0.913,0.883
31,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:03906-06619,6.668,2.183,0.203,9.544,2118.329,1249.731,3.203,2.883,0.920,1.161,0.861,0.897
32,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04153-17336,4.513,1.629,0.250,8.638,5551.405,1328.519,1.922,3.523,0.760,1.934,0.517,0.854
33,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04227-13185,15.695,3.442,0.998,15.542,4220.323,1351.580,5.124,4.484,0.816,1.208,0.828,0.872
34,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04469-02000,5.129,6.029,0.622,8.373,639.598,1430.048,2.242,2.883,0.919,1.269,0.788,0.917
35,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04572-13006,17.028,2.250,0.493,16.403,4162.673,1462.717,6.085,3.523,0.795,1.711,0.585,0.930
36,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04651-12463,3.180,4.554,0.437,7.920,3991.003,1488.339,1.601,2.883,0.637,2.222,0.450,0.795
37,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04655-08630,2.770,6.229,0.675,6.826,2763.051,1489.940,1.922,2.242,0.747,1.627,0.615,0.915
38,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04940-09466,2.667,5.387,0.410,5.998,3030.805,1581.220,1.922,1.922,0.932,1.232,0.812,0.867
39,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:04980-12372,13.951,5.510,0.842,14.183,3960.576,1592.750,4.164,4.804,0.871,1.178,0.849,0.898
40,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05228-16740,21.439,1.135,0.235,17.011,5358.917,1671.859,5.445,5.124,0.931,1.076,0.929,0.933
41,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05237-15527,4.513,2.455,0.218,7.545,4972.019,1676.023,2.242,2.562,0.996,1.193,0.838,0.907
42,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05239-12357,69.138,1.957,0.353,31.835,3952.569,1673.460,10.569,9.288,0.857,1.156,0.865,0.934
43,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05368-10937,0.103,1.615,0.000,1.281,3502.897,1719.260,0.320,0.320,0.785,1.000,1.000,1.000
44,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05404-14718,9.232,2.137,0.381,11.278,4712.272,1728.869,3.203,3.843,0.912,1.355,0.738,0.909
45,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05415-09398,21.747,2.841,0.437,17.651,3007.104,1731.751,5.765,5.124,0.877,1.221,0.819,0.914
46,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05678-04391,0.615,4.165,0.252,2.718,1406.027,1818.227,0.961,0.961,1.000,1.291,0.775,0.800
47,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05699-08001,1.949,2.489,0.182,5.998,2561.916,1824.312,1.601,2.242,0.681,1.411,0.709,0.745
48,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05800-11291,97.963,1.070,0.136,37.225,3610.511,1852.176,11.530,11.210,0.888,1.092,0.916,0.955
49,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05835-14704,11.489,2.578,0.367,14.106,4707.468,1866.589,3.843,4.804,0.726,1.841,0.543,0.836
50,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05865-10768,2.872,5.227,0.457,6.373,3447.809,1877.799,2.242,1.601,0.889,1.632,0.613,0.903
51,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:05967-02550,9.540,2.839,0.357,11.466,815.111,1909.506,3.523,3.523,0.912,1.417,0.706,0.921
