 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:00130-13973,6.668,3.400,0.279,9.356,4473.984,40.035,2.883,3.203,0.957,1.067,0.938,0.897
2,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:01140-12566,0.308,2.099,0.086,1.812,4024.312,364.798,0.641,0.641,1.000,1.464,0.683,0.857
3,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:01767-13681,11.079,4.113,0.409,12.184,4379.822,564.012,3.843,3.843,0.938,1.127,0.887,0.919
4,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02121-12843,31.389,1.396,0.825,21.760,4110.147,676.110,6.406,6.406,0.833,1.233,0.811,0.919
5,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02215-14434,15.797,1.042,0.116,20.667,4621.313,705.255,3.523,8.327,0.465,2.449,0.408,0.748
6,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02238-11839,12.720,1.271,0.389,13.122,3789.867,715.184,4.164,3.523,0.928,1.155,0.866,0.947
7,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02385-11518,6.360,2.430,0.245,9.919,3687.378,762.586,3.203,2.883,0.812,1.269,0.788,0.849
8,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02662-10572,0.103,1.872,0.000,1.281,3385.995,852.584,0.320,0.320,0.785,1.000,1.000,1.000
9,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02663-10575,0.103,1.912,0.000,1.281,3386.956,852.904,0.320,0.320,0.785,1.000,1.000,1.000
10,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02762-09882,14.464,1.472,0.705,14.371,3162.760,882.690,4.804,4.164,0.880,1.196,0.836,0.901
11,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02875-10108,13.643,1.002,0.007,14.183,3235.143,918.562,4.484,4.484,0.852,1.308,0.765,0.899
12,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:02948-07594,9.642,1.410,0.631,11.466,2430.601,942.262,3.203,3.843,0.922,1.149,0.870,0.922
13,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03027-13752,49.443,5.055,1.052,28.586,4400.320,965.322,8.327,8.327,0.760,1.060,0.943,0.893
