 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of 0h_nonlightexposed_B1 Region1_Merged_RAW_ch01.tif:04659-02819,1.641,2.582,0.115,5.358,901.907,1491.542,1.922,1.601,0.719,1.725,0.580,0.744
2,Result of 0h_nonlightexposed_B1 Region1_Merged_RAW_ch01.tif:04899-00792,22.260,2.053,0.296,18.635,250.459,1566.487,6.406,5.445,0.806,1.677,0.596,0.899
3,Result of 0h_nonlightexposed_B1 Region1_Merged_RAW_ch01.tif:05119-02042,7.078,1.472,0.138,10.185,652.409,1637.909,3.203,3.203,0.857,1.411,0.709,0.868
4,Result of 0h_nonlightexposed_B1 Region1_Merged_RAW_ch01.tif:06233-03251,4.103,3.104,0.252,7.545,1040.268,1995.021,1.922,2.883,0.906,1.328,0.753,0.899
5,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:00074-05191,0.205,1.341,0.070,1.546,1662.251,23.701,0.641,0.320,1.000,2.000,0.500,1.000
6,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:01495-04801,7.796,1.778,0.155,10.372,1536.061,477.537,3.523,2.883,0.911,1.123,0.890,0.910
7,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:02786-02581,15.182,0.999,1.103E-4,14.449,824.399,890.057,4.804,4.484,0.914,1.029,0.972,0.916
8,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:03894-05583,86.269,1.330,0.341,35.943,1782.676,1241.724,11.210,10.890,0.839,1.299,0.770,0.935
9,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:04145-03094,39.595,1.046,0.134,23.572,987.101,1324.356,8.007,6.406,0.895,1.280,0.781,0.943
10,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:05415-00364,2.052,1.063,0.065,5.811,115.621,1733.673,2.242,1.601,0.764,1.671,0.599,0.800
11,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:05529-07739,0.308,1.907,0.091,2.562,2478.643,1770.505,0.320,0.961,0.589,3.000,0.333,1.000
12,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:05532-07740,0.103,2.004,0.000,1.281,2478.963,1771.786,0.320,0.320,0.785,1.000,1.000,1.000
13,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:05665-08021,13.746,1.079,0.083,13.918,2566.720,1812.462,4.484,4.164,0.892,1.122,0.891,0.908
14,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:05678-02755,0.103,1.557,0.000,1.281,882.370,1818.547,0.320,0.320,0.785,1.000,1.000,1.000
15,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:05751-08157,12.207,1.909,0.734,12.825,2610.598,1840.006,4.164,3.843,0.933,1.161,0.861,0.922
16,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:06143-03084,44.827,1.320,0.360,25.196,983.578,1963.954,8.327,7.366,0.887,1.152,0.868,0.942
17,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:06438-08432,8.104,1.482,0.056,11.090,2698.995,2060.358,3.523,3.203,0.828,1.170,0.855,0.845
18,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:07860-06183,43.083,1.000,0.011,25.837,1975.484,2514.194,9.608,6.406,0.811,1.698,0.589,0.948
19,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:09333-03190,0.205,7.942,0.843,1.812,1021.371,2988.848,0.641,0.641,0.785,2.646,0.378,0.667
20,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:09801-02783,52.623,1.613,0.422,26.930,887.174,3135.216,8.648,8.007,0.912,1.161,0.861,0.950
21,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:09889-03192,2.359,6.235,0.412,5.623,1021.371,3166.283,1.922,1.922,0.938,1.322,0.757,0.852
22,Result of 0h_nonlightexposed_B2 Region1_Merged_RAW_ch01.tif:11163-01572,2.257,1.148,0.180,5.358,502.839,3574.319,1.601,1.922,0.988,1.170,0.854,0.863
23,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:00176-09002,41.647,1.058,0.234,24.290,2879.633,52.526,7.366,7.687,0.887,1.088,0.919,0.938
24,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:00400-09116,4.616,2.006,0.281,9.169,2918.067,126.831,3.203,2.883,0.690,2.213,0.452,0.763
25,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:00465-07149,16.515,1.739,0.318,15.199,2287.436,146.688,4.484,4.804,0.898,1.161,0.862,0.915
26,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01051-07621,3.283,1.001,4.941E-7,6.904,2439.889,335.333,1.922,2.562,0.865,1.248,0.801,0.831
27,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01228-05711,4.001,4.976,0.390,8.528,1827.835,392.022,2.883,2.883,0.691,2.078,0.481,0.750
28,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01285-13207,3.077,1.007,0.014,6.263,4228.971,410.598,1.922,2.242,0.986,1.177,0.850,0.870
29,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01412-07719,7.283,1.498,0.138,10.825,2470.316,450.954,4.164,2.562,0.781,1.723,0.580,0.887
30,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01561-08170,4.821,2.708,0.196,8.451,2615.402,498.675,2.562,2.883,0.848,1.534,0.652,0.862
31,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01567-09888,25.850,1.025,0.068,19.916,3164.362,498.355,5.445,7.046,0.819,1.306,0.766,0.911
32,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01606-08164,2.667,2.759,0.126,5.811,2613.801,513.408,1.922,1.922,0.993,1.585,0.631,0.897
33,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:01989-13105,9.540,1.943,0.699,11.543,4195.341,635.435,3.843,3.523,0.900,1.219,0.821,0.886
34,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:02017-10229,12.002,2.861,0.309,12.715,3274.217,644.082,4.164,4.164,0.933,1.175,0.851,0.911
35,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:02137-12654,0.821,4.628,0.183,3.624,4052.176,683.797,1.281,1.281,0.785,2.464,0.406,0.727
36,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:02151-12648,0.308,5.087,0.654,1.812,4050.575,688.601,0.641,0.641,1.000,1.464,0.683,0.857
37,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:02180-12358,8.411,2.985,0.315,10.450,3956.413,696.608,3.523,3.203,0.968,1.147,0.872,0.916
38,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:02311-10542,21.029,1.001,0.003,19.198,3373.504,737.283,6.085,5.765,0.717,1.752,0.571,0.878
39,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:02797-03176,29.953,1.002,7.379E-5,20.667,1014.005,892.939,6.406,6.085,0.881,1.135,0.881,0.926
40,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:02823-03946,26.363,1.074,0.055,24.322,1259.019,902.227,9.929,4.164,0.560,2.810,0.356,0.855
41,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03230-02366,9.130,1.542,0.213,12.262,755.860,1032.581,3.843,4.164,0.763,1.942,0.515,0.860
42,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03277-12217,0.205,3.754,0.328,1.922,3912.855,1049.236,0.320,0.641,0.698,2.000,0.500,1.000
43,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03285-12213,7.386,3.651,0.406,10.825,3909.972,1050.517,3.203,3.523,0.792,1.270,0.788,0.857
44,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03570-14022,14.464,1.240,0.580,18.557,4488.397,1140.836,5.124,5.124,0.528,1.044,0.957,0.725
45,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03560-13361,158.895,1.016,0.054,53.330,4271.888,1132.829,15.053,14.733,0.702,1.103,0.906,0.903
46,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03695-02775,59.906,1.004,0.013,29.039,884.292,1179.269,8.968,8.648,0.893,1.209,0.827,0.950
47,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03757-03952,8.822,2.288,0.355,11.356,1263.823,1201.689,3.843,3.523,0.860,1.259,0.794,0.878
48,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03785-12004,20.105,2.275,0.424,17.089,3842.073,1209.696,5.445,5.445,0.865,1.143,0.875,0.895
49,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03817-12746,46.673,1.058,0.117,25.837,4078.759,1218.343,7.366,8.648,0.879,1.251,0.799,0.942
50,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:03867-13267,40.724,1.131,0.318,24.135,4245.625,1234.998,7.366,7.046,0.879,1.043,0.959,0.932
51,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04072-02455,0.923,1.751,0.054,3.624,785.646,1303.538,1.281,1.281,0.884,1.513,0.661,0.750
52,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04094-03266,8.514,2.583,0.121,11.090,1044.431,1309.623,3.523,3.523,0.870,1.117,0.896,0.878
53,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04217-02561,21.029,3.450,0.674,19.353,817.353,1347.416,6.085,6.406,0.706,1.156,0.865,0.815
54,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04340-07189,19.900,1.251,0.288,17.011,2300.247,1387.131,4.804,5.765,0.864,1.254,0.797,0.913
55,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04373-02155,0.103,1.567,0.000,1.281,690.202,1400.582,0.320,0.320,0.785,1.000,1.000,1.000
56,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04376-02132,41.852,1.340,0.263,26.212,678.032,1398.340,9.608,6.406,0.765,1.379,0.725,0.914
57,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04573-09801,4.206,1.728,0.457,9.013,3138.419,1463.037,1.601,3.523,0.651,1.872,0.534,0.854
58,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04619-07238,6.668,1.166,0.117,9.544,2316.582,1478.090,3.203,2.883,0.920,1.093,0.915,0.890
59,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04646-01425,42.468,1.022,0.067,24.103,452.875,1484.175,7.366,7.687,0.919,1.095,0.913,0.946
60,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04778-12831,1.539,4.959,0.387,4.639,4108.866,1529.655,1.601,1.281,0.898,1.494,0.669,0.857
61,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04783-08418,109.041,1.002,0.010,39.489,2689.707,1526.452,12.811,11.210,0.879,1.193,0.838,0.954
62,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04833-10302,33.954,1.004,0.019,21.385,3296.317,1544.708,6.726,6.406,0.933,1.090,0.917,0.948
63,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04887-02326,32.210,2.062,0.579,21.275,741.767,1561.683,6.406,7.046,0.894,1.153,0.867,0.929
64,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:04958-00034,11.284,1.066,0.092,13.277,8.648,1586.024,4.484,3.843,0.804,1.204,0.831,0.866
65,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05020-10987,1.641,1.000,0.000,5.358,3517.950,1607.163,1.922,1.601,0.719,1.281,0.781,0.727
66,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05015-01822,21.439,1.006,0.024,17.199,580.987,1603.639,5.124,5.445,0.911,1.138,0.879,0.927
67,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05135-01906,68.625,1.121,0.274,31.492,605.328,1640.472,10.569,8.648,0.870,1.237,0.808,0.947
68,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05184-02175,41.237,2.458,0.647,23.650,692.765,1656.806,7.687,7.046,0.926,1.085,0.922,0.948
69,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05210-10214,19.695,5.646,0.708,16.746,3269.093,1666.094,4.804,5.445,0.883,1.144,0.874,0.919
70,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05254-02101,12.925,2.982,0.477,13.277,670.986,1680.827,4.164,4.164,0.921,1.215,0.823,0.923
71,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05298-07642,5.847,2.462,0.551,11.278,2445.975,1695.239,3.203,3.523,0.578,2.112,0.474,0.735
72,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05299-15103,12.617,1.060,0.178,13.277,4835.260,1695.239,4.164,4.164,0.899,1.127,0.887,0.901
73,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05298-00937,29.850,1.018,0.048,21.385,296.899,1693.638,6.726,6.406,0.820,1.109,0.902,0.912
74,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05340-08134,2.359,3.407,0.226,7.169,2604.193,1709.011,1.922,2.562,0.577,1.497,0.668,0.687
75,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05453-08661,29.030,1.920,0.511,20.104,2770.738,1743.602,6.406,6.085,0.903,1.083,0.923,0.934
76,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05603-06257,19.490,1.672,0.169,16.105,2001.747,1791.964,4.484,5.445,0.944,1.243,0.805,0.945
77,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05668-10710,1.231,1.635,0.137,3.999,3429.553,1814.704,1.281,1.281,0.967,1.481,0.675,0.857
78,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05709-01883,1.026,1.981,0.099,3.999,602.446,1828.155,1.601,0.961,0.806,1.847,0.541,0.800
79,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05722-13984,14.874,0.999,0.007,14.636,4476.547,1830.397,4.804,4.484,0.873,1.151,0.869,0.895
80,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:05841-09398,117.863,1.248,0.523,40.958,3003.581,1864.667,12.811,12.171,0.883,1.222,0.819,0.955
81,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06000-07307,5.744,5.557,0.410,8.826,2338.681,1920.716,3.203,2.242,0.927,1.518,0.659,0.918
82,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06237-10886,24.106,1.001,0.005,18.370,3484.000,1994.701,5.445,6.085,0.898,1.116,0.896,0.923
83,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06277-02550,40.826,1.008,0.022,23.837,813.190,2006.871,7.366,7.366,0.903,1.015,0.985,0.941
84,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06290-09556,4.411,1.374,0.311,7.998,3059.310,2013.277,2.562,2.562,0.867,1.332,0.751,0.851
85,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06343-03418,94.065,1.060,0.104,36.584,1089.271,2026.088,11.210,11.210,0.883,1.084,0.922,0.950
86,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06365-15709,13.540,1.001,0.008,13.730,5029.349,2036.337,4.164,4.484,0.903,1.135,0.881,0.907
87,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06545-08495,17.644,1.004,0.017,15.652,2718.532,2093.987,4.804,4.804,0.905,1.031,0.970,0.920
88,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06604-06853,2.872,1.666,0.060,6.451,2193.594,2114.485,2.562,1.601,0.867,1.564,0.640,0.848
89,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06616-02501,2.257,1.817,0.060,5.623,800.378,2118.008,1.601,2.242,0.897,1.406,0.711,0.815
90,Result of 0h_nonlightexposed_B3 Region1_Merged_RAW_ch01.tif:06665-11062,48.828,1.015,0.047,27.681,3538.768,2130.820,8.327,8.007,0.801,1.080,0.926,0.910
